-- Employee Table
essn,first_name,last_name,address,phone,email,username,password,dept_id
123456789,John,Doe,123 Main St,123456789,john.doe@example.com,johndoe,password123,

-- Department Table
dept_id,dept_name,manager_ssn
1,Electronics,123456789
2,Clothing,123456789

-- Customer Table
customer_id,first_name,last_name,address,phone,email,username,password,cc_no,exp_date,cvv
1,Jane,Smith,456 Elm St,987654321,jane.smith@example.com,janesmith,password456,1111222233334444,2025-12-31,123

-- Product Table
product_id,product_name,sell_price,exp_date,dpt_id
1,Laptop,999.99,2026-12-31,1
2,Smartphone,799.99,2026-12-31,1
3,Tablet,499.99,2026-12-31,1
4,Headphones,199.99,2026-12-31,1
5,Smartwatch,299.99,2026-12-31,1
6,T-Shirt,19.99,2025-12-31,2
7,Jeans,49.99,2025-12-31,2
8,Jacket,99.99,2025-12-31,2
9,Sneakers,79.99,2025-12-31,2
10,Hat,14.99,2025-12-31,2

-- Supplier Table
supplier_id,supplier_name,buy_price
1,TechSupplier Inc.,800.00
2,FashionSupplier Ltd.,40.00

-- Supplier Products Table
supplier_id,product_id,product_name
1,1,Laptop
1,2,Smartphone
1,3,Tablet
1,4,Headphones
1,5,Smartwatch
2,6,T-Shirt
2,7,Jeans
2,8,Jacket
2,9,Sneakers
2,10,Hat

-- Supplied By Table
supplier_id,product_id,product_amount
1,1,100
1,2,200
1,3,150
1,4,300
1,5,250
2,6,400
2,7,300
2,8,200
2,9,350
2,10,500

-- Cart Table
cart_id,customer_id
1,1

-- Cart Items Table
cart_id,product_id,product_name,sell_price
1,1,Laptop,999.99
1,7,Jeans,49.99
